T,S
61,2.92
62,3.04
63,3.12
64,3.13
65,3.12
66,3.15
67,3.17
68,3.18
69,3.18
70,3.22
72,3.22
74,3.23
76,3.23
80,3.24
85,3.26
90,3.27
95,3.27
100,3.29
105,3.3
110,3.33
115,3.34
120,3.34
