T,S
121,4.56
122,5.12
123,5.87
124,6.19
125,6.48
126,6.77
127,6.98
128,7.15
129,7.33
130,7.44
132,7.71
134,7.88
136,8
138,8.18
140,8.27
145,8.52
150,8.64
155,8.7
160,8.83
165,8.92
170,8.99
175,9.04
180,9.1
