T,S
1,1.08
2,1.14
3,1.17
4,1.21
5,1.25
6,1.27
7,1.34
8,1.41
9,1.51
10,1.68
12,1.71
14,1.72
16,1.73
18,1.74
20,1.76
25,1.75
30,1.91
35,1.94
40,2
45,2.1
50,2.15
60,2.23
